매물ID,제조사,모델,등급,연식,주행km,연료,차체,시도,판매가,잔존율
41516320,현대,아반떼 (CN7),2.0 N,2022.0,63394.0,가솔린,준중형차,서울,2299.0,71.6
41543354,현대,쏘나타 (DN8),1.6 터보,2022.0,99793.0,가솔린,중형차,서울,1580.0,60.1
41511486,현대,베라크루즈,가솔린 2WD 380VX,2012.0,102760.0,가솔린,SUV,서울,1090.0,28.6
41527552,현대,아반떼 (CN7),1.6,2021.0,19096.0,가솔린,준중형차,서울,2000.0,81.5
41650107,현대,싼타페 TM,디젤 2.0 2WD,2020.0,69780.0,디젤,SUV,서울,1850.0,62.7
41623039,현대,더 뉴 그랜저 IG,3.3,2020.0,58609.0,가솔린,대형차,서울,2650.0,61.8
41533888,현대,싼타페 더 프라임,디젤 2.0 2WD,2016.0,133353.0,디젤,SUV,서울,960.0,32.8
41713658,현대,YF 쏘나타,Y20 프라임,2010.0,55661.0,가솔린,중형차,서울,450.0,18.2
41841235,현대,그랜저 IG,3.0 LPI 택시형,2017.0,111576.0,LPG(일반인 구입),대형차,서울,1150.0,
41775103,현대,i30 (PD),1.4 터보,2018.0,103269.0,가솔린,준중형차,서울,930.0,49.2
41748049,현대,그랜저 HG,HG300 프리미엄,2013.0,191828.0,가솔린,대형차,서울,495.0,14.9
41524574,현대,싼타페 DM,디젤(e-VGT) 2.0 2WD 익스클루시브,2015.0,120566.0,디젤,SUV,서울,1070.0,32.2
40837870,현대,싼타페 DM,디젤(e-VGT) 2.2 4WD 익스클루시브,2015.0,101300.0,디젤,SUV,서울,1249.0,36.2
41755797,현대,제네시스 DH,G380 프레스티지 AWD,2016.0,142547.0,가솔린,대형차,서울,1280.0,20.6
41792233,현대,싼타페 (MX5),HEV 1.6 2WD,2025.0,1550.0,가솔린+전기,SUV,서울,2764.0,64.0
41826224,현대,엑센트(신형),위트 1.4 VVT 모던,2015.0,53248.0,가솔린,소형차,서울,590.0,39.5
41310103,현대,그랜저 IG,2.4 프리미엄,2019.0,66596.0,가솔린,대형차,서울,1890.0,58.4
41648823,현대,그랜저 HG,HG300 노블,2011.0,148400.0,가솔린,대형차,서울,485.0,13.2
41587379,현대,투싼 하이브리드 (NX4),프리미엄 2WD,2022.0,97560.0,가솔린+전기,SUV,서울,2170.0,67.6
41763657,현대,더 뉴 그랜저 IG,2.5,2022.0,90328.0,가솔린,대형차,서울,2200.0,62.3
41049270,현대,팰리세이드,가솔린 3.8 2WD,2021.0,52217.0,가솔린,SUV,서울,2200.0,53.5
39043233,현대,아반떼 AD,1.6 GDI 스마트,2017.0,149129.0,가솔린,준중형차,서울,729.0,41.3
41500499,현대,더 뉴 그랜저 IG,3.0 LPi (렌터카용),2022.0,46184.0,LPG(일반인 구입),대형차,서울,1999.0,56.5
40977088,현대,팰리세이드,디젤 2.2 2WD,2022.0,93258.0,디젤,SUV,서울,2480.0,58.2
40997210,현대,스타리아,라운지 9인승,2022.0,74050.0,디젤,승합차,서울,3230.0,79.8
40979870,현대,팰리세이드,디젤 2.2 2WD,2022.0,93308.0,디젤,SUV,서울,2450.0,65.2
41763389,현대,더 뉴 그랜저 IG 하이브리드,익스클루시브,2022.0,116636.0,가솔린+전기,대형차,서울,2450.0,59.0
41664655,현대,스타리아,라운지 7인승,2022.0,51790.0,디젤,승합차,서울,3350.0,81.0
41381493,현대,그랜저 하이브리드 (GN7),익스클루시브,2023.0,89332.0,가솔린+전기,대형차,서울,4310.0,90.6
41763526,현대,YF 쏘나타,CVVL 럭셔리,2012.0,119709.0,가솔린,중형차,서울,400.0,16.3
41812049,현대,캐스퍼,터보 인스퍼레이션,2024.0,58717.0,가솔린,경차,서울,1499.0,76.5
41766543,현대,그랜저 IG,3.0 익스클루시브,2019.0,125140.0,가솔린,대형차,서울,1770.0,45.7
41801061,현대,코나,1.6 터보 4WD,2018.0,76495.0,가솔린,SUV,서울,1290.0,53.6
41285332,현대,코나,디젤 1.6 2WD,2018.0,55934.0,디젤,SUV,서울,1220.0,53.3
41810502,현대,베뉴,1.6 플럭스,2020.0,80744.0,가솔린,SUV,서울,1450.0,68.7
41803657,현대,캐스퍼,모던,2022.0,141360.0,가솔린,경차,서울,1049.0,66.0
41541769,현대,더 뉴 그랜저 IG,2.5,2020.0,140272.0,가솔린,대형차,서울,1698.0,42.0
41799500,현대,LF 쏘나타 하이브리드,2.0 HEV,2016.0,82010.0,가솔린+전기,중형차,서울,1390.0,45.1
41596484,현대,더 뉴 싼타페,가솔린 2.5T 2WD,2023.0,37129.0,가솔린,SUV,서울,2470.0,76.0
41712839,현대,캐스퍼,모던,2022.0,144252.0,가솔린,경차,서울,1029.0,64.7
41587360,현대,더 뉴 그랜저 IG 하이브리드,르블랑,2022.0,99974.0,가솔린+전기,대형차,서울,2560.0,63.3
41419141,현대,투싼 (NX4),가솔린 1.6 터보 2WD,2022.0,71471.0,가솔린,SUV,서울,2390.0,75.8
41823103,현대,그랜드 스타렉스,5인승 밴,2016.0,59644.0,디젤,승합차,서울,1150.0,53.9
41560949,현대,더 뉴 팰리세이드,가솔린 3.8 4WD,2023.0,77419.0,가솔린,SUV,서울,2790.0,67.9
39161604,현대,아반떼 AD,1.6 GDI 스마트,2017.0,136558.0,가솔린,준중형차,서울,729.0,41.3
41617620,현대,더 뉴 팰리세이드,디젤 2.2 2WD,2023.0,83594.0,디젤,SUV,서울,3390.0,74.0
41349092,현대,스타리아,4WD 투어러 9인승,2025.0,15869.0,디젤,승합차,서울,3780.0,110.1
41758561,현대,캐스퍼,모던,2022.0,141873.0,가솔린,경차,서울,1049.0,66.0
41727328,현대,아반떼 (CN7),1.6,2021.0,117125.0,가솔린,준중형차,서울,1630.0,66.4
41382686,현대,싼타페 TM,디젤 2.0 2WD,2019.0,22605.0,디젤,SUV,서울,2350.0,77.4
41796139,현대,제네시스,BH330 럭셔리,2009.0,132000.0,가솔린,대형차,서울,420.0,9.0
41151411,현대,팰리세이드,디젤 2.2 4WD,2022.0,74659.0,디젤,SUV,서울,3380.0,67.5
